yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;3;4;1971-03-04;13951.06052;6608.50009;13088.22966;4316.84304;2699.73106
1971;3;5;1971-03-05;13145.60535;6239.71437;12230.93222;3909.22241;2815.50652
1971;3;6;1971-03-06;14441.31700;6829.20587;13604.28160;4569.27950;2637.87880
1971;3;7;1971-03-07;15255.57161;7198.88024;14465.50355;5000.70402;2539.97560
1971;3;8;1971-03-08;14999.21390;7080.60544;14191.14583;4863.47070;2569.88200
1971;3;9;1971-03-09;12907.17755;6126.30667;11971.46231;3791.60687;2853.35494
1971;3;10;1971-03-10;14198.85264;6714.26782;13338.80926;4443.18042;2669.82200
1971;3;11;1971-03-11;13562.72302;6422.70434;12662.67698;4117.72522;2755.83200
1971;3;12;1971-03-12;12117.98075;5763.80613;11132.82111;3411.93795;2982.08186
1971;3;13;1971-03-13;11474.15555;5468.68827;10451.61831;3112.72650;3099.27614
1971;3;14;1971-03-14;13016.49591;6170.37725;12081.39041;3848.29922;2833.47706
1971;3;15;1971-03-15;12981.80012;6152.66003;12043.49008;3832.41894;2836.88614
1971;3;16;1971-03-16;13461.35840;6370.02671;12549.98156;4072.57640;2764.06654
1971;3;17;1971-03-17;13133.67850;6219.50942;12202.11366;3910.70805;2809.90986
1971;3;18;1971-03-18;13247.70530;6269.30022;12321.84232;3968.30430;2790.66186
1971;3;19;1971-03-19;13565.52959;6412.61450;12657.79020;4130.64656;2742.29106
1971;3;20;1971-03-20;13777.48335;6507.69424;12881.45997;4240.60005;2709.93320
1971;3;21;1971-03-21;13108.68409;6202.31227;12173.59656;3906.15393;2803.02734
1971;3;22;1971-03-22;12541.84101;5943.68326;11574.88709;3630.65118;2887.48146
1971;3;23;1971-03-23;12819.45076;6068.32526;11868.05509;3768.97504;2839.69840
1971;3;24;1971-03-24;13221.95375;6249.58423;12293.20702;3970.72521;2774.96346
1971;3;25;1971-03-25;13045.23192;6167.38331;12105.74265;3885.84121;2797.02600
1971;3;26;1971-03-26;12401.71213;5873.36442;11427.47687;3574.03217;2893.09360
1971;3;27;1971-03-27;13540.43237;6389.52574;12630.27187;4141.32241;2715.73280
